[[32;1;1mINFO[0m] Connection established.
Buying Power	Total Shares	Total P&L	Timestamp
        0.00	           0	     0.00	2020-04-17 10:40:23.836163
Symbol				Type	  Price		Size	Executed	ID														 Status		Timestamp
   MCD	  Type.LIMIT_BUY	 199.18		   1		   0	c978e23d-e1c4-4365-882e-0a0edd6a7526	     Status.PENDING_NEW		2020-04-17 10:40:29.156217
   MCD	  Type.LIMIT_BUY	 197.92		   1		   0	5997c12f-3f50-4269-b576-0c950e4df31d	     Status.PENDING_NEW		2020-04-17 10:40:29.156524
   MCD	 Type.LIMIT_SELL	 200.42		   1		   0	274d5a1a-5df4-43e6-b958-afdbc7453dad	     Status.PENDING_NEW		2020-04-17 10:40:29.156679
   MCD	  Type.LIMIT_BUY	 197.90		   1		   0	d4b873db-b716-42b9-b168-3c6a25f27106	     Status.PENDING_NEW		2020-04-17 10:40:29.156820
   MCD	 Type.LIMIT_SELL	 200.44		   1		   0	6f81a264-892a-45c0-80df-2062ad7b1a63	     Status.PENDING_NEW		2020-04-17 10:40:29.157041
   MCD	  Type.LIMIT_BUY	 197.82		   1		   0	4629c81e-6dd1-46ab-bc60-a78dc31ace75	     Status.PENDING_NEW		2020-04-17 10:40:29.157208
   MCD	 Type.LIMIT_SELL	 200.52		   1		   0	793446b6-a073-4c06-9a4b-64e07ff4ff09	     Status.PENDING_NEW		2020-04-17 10:40:29.157356
   MCD	  Type.LIMIT_BUY	 197.72		   1		   0	7575588d-736c-4b44-b8f6-2c5138be1874	     Status.PENDING_NEW		2020-04-17 10:40:29.157484
   MCD	 Type.LIMIT_SELL	 200.62		   1		   0	ec9e5a42-fc98-4e1f-945f-5a0214cc5009	     Status.PENDING_NEW		2020-04-17 10:40:29.157603
   MCD	  Type.LIMIT_BUY	 197.62		   1		   0	ac6bf658-2c92-455a-adfc-adbc36eebc06	     Status.PENDING_NEW		2020-04-17 10:40:29.157752
   MCD	 Type.LIMIT_SELL	 200.72		   1		   0	68d1d7cc-bd31-41f5-bdc2-eb00962d1e6b	     Status.PENDING_NEW		2020-04-17 10:40:29.157901
   MCD	  Type.LIMIT_BUY	 197.52		   1		   0	50b37376-9c83-4d1b-b266-168b3f2f5aff	     Status.PENDING_NEW		2020-04-17 10:40:29.158076
   MCD	 Type.LIMIT_SELL	 200.82		   1		   0	5a34ac7b-4800-44cd-b7fc-0f8a93a8af80	     Status.PENDING_NEW		2020-04-17 10:40:29.158206
   MCD	  Type.LIMIT_BUY	 197.32		   1		   0	69ef6859-9132-4d2a-a313-3b6a9409b419	     Status.PENDING_NEW		2020-04-17 10:40:29.158323
   MCD	 Type.LIMIT_SELL	 201.02		   1		   0	c9f53fa8-0d68-4ff6-a45d-698bfceb23d4	     Status.PENDING_NEW		2020-04-17 10:40:29.158456
   MCD	  Type.LIMIT_BUY	 189.95		   1		   0	cb7e8b31-d70a-4aa6-912b-7903a7e979ec	     Status.PENDING_NEW		2020-04-17 10:40:29.158790
   MCD	 Type.LIMIT_SELL	 208.39		   1		   0	c5bbdcdb-a271-4b94-a007-2e9733229b09	     Status.PENDING_NEW		2020-04-17 10:40:29.158934
   MCD	  Type.LIMIT_BUY	 196.92		   1		   0	6f671cb3-a6f3-43ca-b9bf-df5906fb4bfb	     Status.PENDING_NEW		2020-04-17 10:40:29.159073
   MCD	 Type.LIMIT_SELL	 201.42		   1		   0	060b5857-3534-4535-8473-3948400acdb9	     Status.PENDING_NEW		2020-04-17 10:40:29.159196
   MCD	  Type.LIMIT_BUY	 183.97		   1		   0	582fc517-04d9-4a97-b432-265081cedb65	     Status.PENDING_NEW		2020-04-17 10:40:29.159363
